hw,h,k,l,C1,A1,C2,A2,C3,A3,mu,nu
-0.3,1,0,0,39.4495,78.899,34.3597,49.2932,37.968,75.9361,0,0
-0.2,1,0,0,38.9361,77.8723,34.9039,49.0272,37.968,75.9361,0,0
-0.1,1,0,0,38.4427,76.8855,35.4415,48.76,37.968,75.9361,0,0
0,1,0,0,37.968,75.9361,35.9727,48.4917,37.968,75.9361,0,0
0.1,1,0,0,37.5108,75.0217,36.498,48.2224,37.968,75.9361,0,0
0.2,1,0,0,37.0701,74.1402,37.0175,47.9522,37.968,75.9361,0,0
0.3,1,0,0,36.6448,73.2896,37.5316,47.681,37.968,75.9361,0,0
0.4,1,0,0,36.2341,72.4682,38.0405,47.409,37.968,75.9361,0,0
0.5,1,0,0,35.8371,71.6742,38.5445,47.1361,37.968,75.9361,0,0
0.6,1,0,0,35.4531,70.9062,39.0439,46.8625,37.968,75.9361,0,0
0.7,1,0,0,35.0814,70.1628,39.5388,46.5881,37.968,75.9361,0,0
0.8,1,0,0,34.7213,69.4425,40.0295,46.313,37.968,75.9361,0,0
0.9,1,0,0,34.3722,68.7443,40.5162,46.0371,37.968,75.9361,0,0
1,1,0,0,34.0335,68.0671,40.999,45.7606,37.968,75.9361,0,0
1.1,1,0,0,33.7048,67.4097,41.4782,45.4834,37.968,75.9361,0,0
1.2,1,0,0,33.3856,66.7712,41.9539,45.2056,37.968,75.9361,0,0
1.3,1,0,0,33.0754,66.1508,42.4264,44.927,37.968,75.9361,0,0
1.4,1,0,0,32.7737,65.5475,42.8956,44.6479,37.968,75.9361,0,0
1.5,1,0,0,32.4803,64.9606,43.362,44.3681,37.968,75.9361,0,0
1.6,1,0,0,32.1947,64.3893,43.8254,44.0876,37.968,75.9361,0,0
1.7,1,0,0,31.9165,63.8331,44.2862,43.8065,37.968,75.9361,0,0
1.8,1,0,0,31.6455,63.2911,44.7445,43.5248,37.968,75.9361,0,0
1.9,1,0,0,31.3814,62.7628,45.2003,43.2424,37.968,75.9361,0,0
2,1,0,0,31.1238,62.2477,45.6538,42.9593,37.968,75.9361,0,0
2.1,1,0,0,30.8726,61.7451,46.1052,42.6756,37.968,75.9361,0,0
2.2,1,0,0,30.6273,61.2547,46.5545,42.3912,37.968,75.9361,0,0
2.3,1,0,0,30.3879,60.7758,47.0019,42.1061,37.968,75.9361,0,0
2.4,1,0,0,30.154,60.3081,47.4474,41.8203,37.968,75.9361,0,0
2.5,1,0,0,29.9255,59.8511,47.8913,41.5339,37.968,75.9361,0,0
2.6,1,0,0,29.7022,59.4044,48.3336,41.2466,37.968,75.9361,0,0
2.7,1,0,0,29.4838,58.9676,48.7743,40.9587,37.968,75.9361,0,0
2.8,1,0,0,29.2702,58.5404,49.2137,40.67,37.968,75.9361,0,0
2.9,1,0,0,29.0612,58.1224,49.6518,40.3805,37.968,75.9361,0,0
3,1,0,0,28.8566,57.7133,50.0886,40.0902,37.968,75.9361,0,0
3.1,1,0,0,28.6564,57.3127,50.5244,39.7991,37.968,75.9361,0,0
3.2,1,0,0,28.4602,56.9205,50.9592,39.5071,37.968,75.9361,0,0
3.3,1,0,0,28.2681,56.5362,51.393,39.2143,37.968,75.9361,0,0
3.4,1,0,0,28.0798,56.1596,51.8261,38.9205,37.968,75.9361,0,0
3.5,1,0,0,27.8953,55.7906,52.2584,38.6259,37.968,75.9361,0,0
3.6,1,0,0,27.7144,55.4287,52.69,38.3303,37.968,75.9361,0,0
3.7,1,0,0,27.5369,55.0738,53.1212,38.0337,37.968,75.9361,0,0
3.8,1,0,0,27.3629,54.7257,53.5518,37.7361,37.968,75.9361,0,0
3.9,1,0,0,27.1921,54.3842,53.9821,37.4375,37.968,75.9361,0,0
4,1,0,0,27.0245,54.049,54.412,37.1378,37.968,75.9361,0,0
4.1,1,0,0,26.86,53.7199,54.8418,36.837,37.968,75.9361,0,0
4.2,1,0,0,26.6984,53.3968,55.2715,36.535,37.968,75.9361,0,0
4.3,1,0,0,26.5398,53.0795,55.7011,36.2319,37.968,75.9361,0,0
4.4,1,0,0,26.3839,52.7679,56.1308,35.9276,37.968,75.9361,0,0
4.5,1,0,0,26.2308,52.4616,56.5606,35.6219,37.968,75.9361,0,0
4.6,1,0,0,26.0803,52.1607,56.9906,35.315,37.968,75.9361,0,0
4.7,1,0,0,25.9324,51.8649,57.421,35.0068,37.968,75.9361,0,0
4.8,1,0,0,25.787,51.5741,57.8518,34.6971,37.968,75.9361,0,0
4.9,1,0,0,25.6441,51.2881,58.2831,34.386,37.968,75.9361,0,0
5,1,0,0,25.5035,51.0069,58.7149,34.0734,37.968,75.9361,0,0
